title;address;price;rooms;area;floor;max_floor;rent;energy_certificate;form_of_the_property;finishing_condition;balcony_garden_terrace;parking_place;heating;market;advertisement_type;year_of_construction;type_of_development;windows;is_elevator
M4/gotowe/2 balkony/bez PCC/prowizji;ul. Jodłowicka 3c, Pracze Odrzańskie, Fabryczna, Wrocław, dolnośląskie;699000;4;66.30;1;4;700;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;miejskie;wtórny;prywatny;2024;apartamentowiec;plastikowe;True
Odnowiona kamienica Psie Pole-Krzywoustego |Duże!;Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie;699995;5;76.13;3;3;650;;;do zamieszkania;balkon;;gazowe;wtórny;biuro nieruchomości ;2008;kamienica;;False
4-pokojowe mieszkanie 82m2 + balkon Bezpośrednio;ul. Bociania, Kowale, Psie Pole, Wrocław, dolnośląskie;1170913;4;82.75;1;1;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;;;;;;;
INWESTYCYJNIE 3 niezależne pokoje ul. Kleczkowska;ul. Kleczkowska, Kleczków, Psie Pole, Wrocław, dolnośląskie;559000;3;48.34;3;4;560;;pełna własność;do zamieszkania;;;gazowe;wtórny;biuro nieruchomości ;;kamienica;plastikowe;False
4-pokojowe mieszkanie 99m2 + taras Bezpośrednio;al. Jana Kasprowicza, Karłowice, Psie Pole, Wrocław, dolnośląskie;1812902;4;99.61;2;2;;;pełna własność;do wykończenia;taras;garaż/miejsce parkingowe;;;;;;;
4-pokojowe mieszkanie 110m2 + loggia;ul. Jedności Narodowej, Ołbin, Śródmieście, Wrocław, dolnośląskie;;4;110.20;6;7;;;pełna własność;do wykończenia;;garaż/miejsce parkingowe;;;;;;;
Tylko u nas | 2 pokoje | Do wprowadzenia;ul. Opoczyńska, Leśnica, Fabryczna, Wrocław, dolnośląskie;639000;2;49.20;1;4;450;;pełna własność;do zamieszkania;;garaż/miejsce parkingowe;;wtórny;biuro nieruchomości ;2019;blok;;True
3-pokojowe mieszkanie 52m2 + 2 tarasy Bezpośrednio;ul. Krakowska, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie;695760;3;52.00;parter;8;;;pełna własność;do wykończenia;taras;garaż/miejsce parkingowe;;;;;;;
Piękny apartament w zabytkowej kamienicy;ul. Piastowska, Plac Grunwaldzki, Śródmieście, Wrocław, dolnośląskie;950000;2;48.00;1;4;350;W trakcie realizacji / Zwolnione;pełna własność;do zamieszkania;balkon;;gazowe;wtórny;prywatny;1890;kamienica;plastikowe;False
Gotowe Duży Balkon Tramwaj Winda Nad Odrą Nowe;Szczepin, Stare Miasto, Wrocław, dolnośląskie;727000;2;49.85;1;6;;;;do wykończenia;balkon;;;pierwotny;biuro nieruchomości ;2024;apartamentowiec;plastikowe;True
Gotowe 2Xbalkon Tramwaj Winda 10min Centrum;Szczepin, Stare Miasto, Wrocław, dolnośląskie;739000;2;41.80;4;6;;;;do wykończenia;balkon;;;pierwotny;biuro nieruchomości ;2024;apartamentowiec;plastikowe;True
Miekszkanie 36m2/Kozanow;ul. Modra, Kozanów, Fabryczna, Wrocław, dolnośląskie;430000;2;36.00;parter;10;500;B;pełna własność;do remontu;balkon;;miejskie;wtórny;prywatny;1980;blok;plastikowe;False
3-pokojowe mieszkanie 54m2 + balkon Bez Prowizji;ul. Dusznicka, Gaj, Krzyki, Wrocław, dolnośląskie;975262;3;54.79;3;3;;;pełna własność;do wykończenia;balkon;;;;;;;;
2-pokojowe mieszkanie 41m2 + balkon Bezpośrednio;ul. Legnicka, Popowice Południowe, Fabryczna, Wrocław, dolnośląskie;;2;41.86;5;17;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;;;;;;;
Wysoki standard| Parter| 3 Pokoje | Ogródek;Sołtysowice, Psie Pole, Wrocław, dolnośląskie;899000;3;55.88;parter;3;;;pełna własność;do zamieszkania;ogródek;garaż/miejsce parkingowe;;pierwotny;biuro nieruchomości ;2020;apartamentowiec;;True
Luksusowy apartament w Maślicach;al. Śliwowa, Maślice, Fabryczna, Wrocław, dolnośląskie;1199000;2;115.00;2;2;;;pełna własność;do zamieszkania;balkon, taras;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2022;blok;plastikowe;True
Klimatyczne mieszkanie 2 pokojowe po remoncie;pl. Tadeusza Kościuszki, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie;640660;2;62.20;1;3;400;;pełna własność;do zamieszkania;;;elektryczne;wtórny;biuro nieruchomości ;1930;kamienica;plastikowe;False
Słoneczne mieszkanie po remoncie! Plac Jana Pawła;Plac Jana Pawła II, Szczepin, Stare Miasto, Wrocław, dolnośląskie;579000;2;37.00;2;10;500;;;;;;miejskie;wtórny;biuro nieruchomości ;1975;blok;plastikowe;True
2-pokojowe z balkonem do wprowadzenia, Maślice;ul. Królewiecka, Maślice, Fabryczna, Wrocław, dolnośląskie;534000;2;39.50;1;3;560;;pełna własność;do zamieszkania;balkon;;;wtórny;biuro nieruchomości ;2015;;;False
Top lokalizacja_Wrocław_okolice Rynku_ul. Stawowa;ul. Stawowa 6, Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie;591000;1;32.00;4;5;;W trakcie realizacji / Zwolnione;pełna własność;do zamieszkania;;;miejskie;wtórny;biuro nieruchomości ;2016;apartamentowiec;plastikowe;True
5-pokojowe mieszkanie 215m2 + 2 tarasy;ul. Walońska, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie;;5;215.57;10+;17;;;pełna własność;do wykończenia;taras;garaż/miejsce parkingowe;;;;;;;
4-pokojowe mieszkanie 86m2 + balkon Bezpośrednio;Danuty Siedzikówny, Zawidawie, Psie Pole, Wrocław, dolnośląskie;;4;86.08;1;2;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;;;;;;;
2-pokojowe mieszkanie 35m2 + balkon Bezpośrednio;ul. Piwna, Plac Grunwaldzki, Śródmieście, Wrocław, dolnośląskie;;2;35.81;1;7;;;pełna własność;do wykończenia;balkon;;;;;;;;
Mieszkanie 3 pokojowe osiedle Atal Dyrekcyjna 33;ul. Jana Władysława Dawida, Huby, Krzyki, Wrocław, dolnośląskie;999999;3;62.00;5;6;950;;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;prywatny;;apartamentowiec;plastikowe;True
Rabat 30tys|2 Balkony|Rozkład|Krzyki|Park;ul. Racławicka, Grabiszynek, Fabryczna, Wrocław, dolnośląskie;777600;3;60.00;2;4;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;2025;blok;plastikowe;True
Apartament 2 pokojowy na Kępie Mieszczańskiej;wyspa Kępa Mieszczańska, Nadodrze, Śródmieście, Wrocław, dolnośląskie;740000;2;37.00;4;8;530;;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2019;apartamentowiec;drewniane;True
1-pokojowe mieszkanie 35m2 Bez Pośredników;ul. Piwna, Plac Grunwaldzki, Śródmieście, Wrocław, dolnośląskie;;1;35.46;1;7;;;pełna własność;do wykończenia;;;;;;;;;
Blisko centrum 2 pokojowe do zamieszkania.;ul. Kolejowa, Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie;486000;2;36.00;5;10;500;W trakcie realizacji / Zwolnione;spółdzielcze wł. prawo do lokalu;do zamieszkania;;;miejskie;wtórny;biuro nieruchomości ;1980;blok;plastikowe;True
3 pokoje | Piłsudskiego | Centrum | 3 min od NFM;ul. marsz. Józefa Piłsudskiego, Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie;735000;3;46.00;1;5;420;B;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;prywatny;1960;blok;plastikowe;False
Dwa pokoje z osobną kuchnią gotowe do zamieszkania;ul. Antonia Vivaldiego, Jagodno, Krzyki, Wrocław, dolnośląskie;676000;2;48.27;2;2;600;;pełna własność;do zamieszkania;balkon;;inne;wtórny;biuro nieruchomości ;2014;blok;plastikowe;False
2-pokojowe mieszkanie przy pl. Grunwaldzkim;ul. Mikołaja Reja, Ołbin, Śródmieście, Wrocław, dolnośląskie;655000;2;41.50;3;5;350;;pełna własność;;;;gazowe;wtórny;biuro nieruchomości ;1910;kamienica;plastikowe;False
Oryginalna stolarka drzwiowa;ul. gen. Romualda Traugutta, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie;820000;4;104.00;3;4;500;;pełna własność;do remontu;balkon;;gazowe;wtórny;biuro nieruchomości ;1900;kamienica;drewniane;False
Centrum, balkon, miejsce postojowe. Std premium.;ul. Księcia Witolda, Nadodrze, Śródmieście, Wrocław, dolnośląskie;899000;1;27.53;1;5;400;B;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;prywatny;2020;apartamentowiec;plastikowe;True
Karłowice, willowe, 89,5m2, ogród, balkon, piwnica;Karłowice, Psie Pole, Wrocław, dolnośląskie;1149000;4;89.50;2;3;;;pełna własność;;balkon;;gazowe;wtórny;biuro nieruchomości ;1935;kamienica;plastikowe;False
Mieszkanie na Borku z bardzo klimatyczną loggią;ul. Saperów, Borek, Krzyki, Wrocław, dolnośląskie;1199000;3;81.90;2;3;800;;pełna własność;;balkon;;miejskie;wtórny;biuro nieruchomości ;1998;apartamentowiec;;False
Do Remontu | Boczna Grabiszyńskiej;ul. Grabiszyńska, Gajowice, Fabryczna, Wrocław, dolnośląskie;499000;2;50.00;3;4;106;;pełna własność;;;;elektryczne;wtórny;biuro nieruchomości ;1910;kamienica;drewniane;False
Rozkład| parter| 2 lub 3 pok.|zachód Wrocławia;ul. Wojrowicka, Nowy Dwór, Fabryczna, Wrocław, dolnośląskie;690000;2;60.20;parter;4;942;;;do remontu;;;miejskie;wtórny;biuro nieruchomości ;2001;blok;plastikowe;False
Z widokiem na rzekę! Przy Przystani, taras lux!;ul. Podwale, Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie;1299999;2;46.00;5;5;700;;pełna własność;;taras;;miejskie;wtórny;biuro nieruchomości ;2022;;plastikowe;True
3 pok. 300 M od Rynku.2 poziomy, klimatyzowane;pl. św. Mikołaja, Stare Miasto, Stare Miasto, Wrocław, dolnośląskie;1100000;3;92.00;6;6;800;;pełna własność;do zamieszkania;;;miejskie;wtórny;biuro nieruchomości ;2001;apartamentowiec;drewniane;True
Nieruchomość jedyna w swoim rodzaju | sprawdź!;ul. Jesionowa, Tarnogaj, Krzyki, Wrocław, dolnośląskie;1210000;3;63.54;10+;17;750;;pełna własność;;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2019;apartamentowiec;plastikowe;True
Przepiękne, 5-pokojowe mieszkanie nad Odrą;ul. Księcia Witolda, Nadodrze, Śródmieście, Wrocław, dolnośląskie;3510000;5;117.00;5;10;1;;pełna własność;;balkon, taras;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2022;apartamentowiec;plastikowe;True
Nowy Świat Różanka - twoje miejsce życia;ul. Obornicka, Różanka, Psie Pole, Wrocław, dolnośląskie;815000;3;68.00;5;6;400;;pełna własność;;balkon;;miejskie;wtórny;biuro nieruchomości ;2018;blok;plastikowe;True
LUX STANDARD✅Blisko Rynku✅Prestiż Dla Konesera✅;Ołbin, Śródmieście, Wrocław, dolnośląskie;942100;3;65.00;4;4;;;pełna własność;do wykończenia;;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;2024;apartamentowiec;aluminiowe;True
2-pokojowe mieszkanie 49m2 + ogródek Bezpośrednio;al. Jana Kasprowicza, Karłowice, Psie Pole, Wrocław, dolnośląskie;995052;2;49.26;parter;2;;;pełna własność;do wykończenia;taras, ogródek;garaż/miejsce parkingowe;;;;;;;
5-pokojowe mieszkanie 97m2 + 3 balkony;ul. Konduktorska, Jagodno, Krzyki, Wrocław, dolnośląskie;;5;97.54;1;1;;;pełna własność;do wykończenia;balkon;;;;;;;;
⭐Piękne nowe dwa pokoje, CH BOREK⭐;ul. Mielecka, Gajowice, Fabryczna, Wrocław, dolnośląskie;499000;2;31.80;parter;4;;W trakcie realizacji / Zwolnione;pełna własność;;ogródek;;gazowe;wtórny;prywatny;1930;kamienica;plastikowe;False
"⭐3 pokojowe gotowe do najmu ""M"", ul. Kościuszki⭐";ul. Tadeusza Kościuszki, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie;539000;3;44.10;3;5;174;W trakcie realizacji / Zwolnione;pełna własność;do zamieszkania;;;;wtórny;prywatny;1930;kamienica;plastikowe;False
Bardzo ładne mieszkanie przy parku 3 pokoje balkon;ul. Grabiszyńska, Grabiszyn, Fabryczna, Wrocław, dolnośląskie;780000;3;62.50;9;10;900;;spółdzielcze wł. prawo do lokalu;do zamieszkania;balkon;;miejskie;wtórny;biuro nieruchomości ;1980;blok;plastikowe;True
4-pokojowe mieszkanie 64m2 + 2 loggie Bez Prowizji;Z. Gumińskiej/ul. Odolanowska, Zawidawie, Psie Pole, Wrocław, dolnośląskie;859000;4;64.73;4;4;;;pełna własność;do wykończenia;;garaż/miejsce parkingowe;;;;;;;
3-pokojowe mieszkanie 63m2 + loggia Bezpośrednio;Lothara Herbsta, Sołtysowice, Psie Pole, Wrocław, dolnośląskie;819000;3;63.79;1;5;;;pełna własność;do wykończenia;;garaż/miejsce parkingowe;;;;;;;
Bezczynszowe z ogrodem 172m2, piwnicą i strychem;ul. Różana, Grabiszyn, Fabryczna, Wrocław, dolnośląskie;790000;3;70.00;parter;3;;;pełna własność;do zamieszkania;ogródek;;gazowe;wtórny;biuro nieruchomości ;1930;;;False
4-pokojowe mieszkanie 87m2 + 3 balkony;Długa/ul. Gnieźnieńska, Szczepin, Stare Miasto, Wrocław, dolnośląskie;1419000;4;87.34;4;9;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;;;;;;;
3-pokojowe mieszkanie 62m2 + balkon Bezpośrednio;ul. Ibn Siny Awicenny, Oporów, Fabryczna, Wrocław, dolnośląskie;741595;3;62.80;3;3;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;;;;;;;
Komfortowe, niska zabudowa, po generalnym remoncie;ul. mjr. Jana Piwnika-Ponurego, Psie Pole, Psie Pole, Wrocław, dolnośląskie;625000;4;67.00;parter;2;298;W trakcie realizacji / Zwolnione;pełna własność;do zamieszkania;;garaż/miejsce parkingowe;gazowe;wtórny;biuro nieruchomości ;1930;kamienica;plastikowe;False
2 pokoje/Zakrzów/do lekkiego remontu;ul. gen. Leopolda Okulickiego, Zawidawie, Psie Pole, Wrocław, dolnośląskie;460000;2;51.42;1;2;411;;pełna własność;do zamieszkania;;garaż/miejsce parkingowe;gazowe;wtórny;biuro nieruchomości ;1925;dom wolnostojący;plastikowe;False
2-pokojowe mieszkanie 40m2 + balkon Bez Prowizji;ul. Pabianicka, Powstańców Śląskich, Krzyki, Wrocław, dolnośląskie;753000;2;40.07;1;10;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;;;;;;;
3-pokojowe mieszkanie 66m2 + balkon;ul. Legnicka, Popowice Południowe, Fabryczna, Wrocław, dolnośląskie;;3;66.21;8;17;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;;;;;;;
0% prowizji -Najtańsze 2 pokoje Browary Wrocławski;ul. Jedności Narodowej, Ołbin, Śródmieście, Wrocław, dolnośląskie;690000;2;36.50;3;6;380;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2023;blok;plastikowe;True
Prestiżowe osiedle|Słoneczne|Fitness Klub|Park;ul. Racławicka, Grabiszynek, Fabryczna, Wrocław, dolnośląskie;715800;3;52.00;3;4;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;2025;blok;plastikowe;True
2 pok. z balkonem Ołbin I Ogrzewanie Miejskie;ul. Norberta Barlickiego, Ołbin, Śródmieście, Wrocław, dolnośląskie;666000;2;59.38;4;5;;W trakcie realizacji / Zwolnione;pełna własność;do zamieszkania;balkon;;miejskie;wtórny;biuro nieruchomości ;1960;blok;plastikowe;False
Apartament w centrum widok na rzekę, Angel River;ul. Walońska, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie;899999;2;50.00;2;9;;;;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;prywatny;;apartamentowiec;;True
2 pokoje | osobna kuchnia | rozkładowe | parking;ul. Łomnicka, Maślice, Fabryczna, Wrocław, dolnośląskie;580000;2;48.98;1;4;500;;pełna własność;do zamieszkania;balkon;;;wtórny;biuro nieruchomości ;2015;blok;;True
Doskonała inwestycja | Apartament Premium;ul. Walońska, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie;716000;1;28.64;9;6;;;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2022;apartamentowiec;plastikowe;True
2 pokoje | oddzielna kuchnia | po remoncie;ul. Drukarska, Powstańców Śląskich, Krzyki, Wrocław, dolnośląskie;599000;2;48.11;4;4;;;;do zamieszkania;;;miejskie;wtórny;biuro nieruchomości ;1973;blok;drewniane;False
Apartament 2 pokoje/Ołtaszyn/Balkon/Lux;Pigwowa, Ołtaszyn, Krzyki, Wrocław, dolnośląskie;699000;2;49.00;1;3;700;;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2012;apartamentowiec;;True
1-pokojowe mieszkanie 26m2 + balkon Bez Prowizji;ul. Dusznicka, Gaj, Krzyki, Wrocław, dolnośląskie;470962;1;26.02;1;3;;;pełna własność;do wykończenia;balkon;;;;;;;;
2-pokojowe mieszkanie 32m2 + loggia Bez Prowizji;ul. Piwna, Plac Grunwaldzki, Śródmieście, Wrocław, dolnośląskie;;2;32.96;5;7;;;pełna własność;do wykończenia;;;;;;;;;
3m w Sercu Wrocławia;pl. św. Mikołaja, Stare Miasto, Stare Miasto, Wrocław, dolnośląskie;949000;3;71.00;6;6;900;;pełna własność;do zamieszkania;;;miejskie;wtórny;biuro nieruchomości ;2000;plomba;drewniane;True
3 pokoje na Muchoborze Wielkim;ul. Graniczna, Muchobór Wielki, Fabryczna, Wrocław, dolnośląskie;759000;3;59.25;2;4;750;;pełna własność;do zamieszkania;balkon;;miejskie;wtórny;biuro nieruchomości ;2013;blok;plastikowe;True
0% prowizji, 2 X parking, komórka, balkon,;ul. Miłoszycka, Swojczyce, Psie Pole, Wrocław, dolnośląskie;775000;3;56.56;2;3;;;pełna własność;;balkon;;gazowe;wtórny;biuro nieruchomości ;2020;apartamentowiec;;False
Super 3 pokoje z balkonem i komórką na Maślicach;Maślice, Fabryczna, Wrocław, dolnośląskie;919000;3;68.51;2;3;650;;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2019;blok;plastikowe;True
LUKSUSOWE urządzone 3pok.miesz 60 m2 /JAGODNO;Jagodno, Krzyki, Wrocław, dolnośląskie;869000;3;60.00;parter;3;;A+;pełna własność;do zamieszkania;balkon, taras;;miejskie;wtórny;prywatny;2023;blok;plastikowe;True
4-pokojowe mieszkanie 105m2 + ogródek Bez Prowizji;al. Jana Kasprowicza, Karłowice, Psie Pole, Wrocław, dolnośląskie;2018496;4;105.13;0;2;;;pełna własność;do wykończenia;taras, ogródek;garaż/miejsce parkingowe;;;;;;;
2-pokojowe mieszkanie 42m2 + balkon Bez Prowizji;ul. Nefrytowa, Ołtaszyn, Krzyki, Wrocław, dolnośląskie;561122;2;42.38;2;2;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;;;;;;;
2 TARASY✅ Gotowy Apartament ✅ Blisko Rzeki ✅;Szczepin, Stare Miasto, Wrocław, dolnośląskie;1419000;4;87.00;4;6;900;;pełna własność;do zamieszkania;balkon, taras;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;2023;apartamentowiec;plastikowe;True
4-pokojowe mieszkanie 70m2 + taras Bez Prowizji;ul. Krakowska, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie;899584;4;70.39;0;8;;;pełna własność;do wykończenia;taras;garaż/miejsce parkingowe;;;;;;;
Świetna kawalerka w budynku z windą;ul. Przyjaźni, Krzyki, Krzyki, Wrocław, dolnośląskie;465000;1;29.86;2;6;;;pełna własność;do zamieszkania;balkon;;miejskie;wtórny;biuro nieruchomości ;2008;apartamentowiec;drewniane;True
Nowiutkie 2 pokojowe , wykończone pod klucz;Szczepin, Stare Miasto, Wrocław, dolnośląskie;815000;2;39.90;7;10;380;A;pełna własność;do zamieszkania;balkon;;miejskie;pierwotny;prywatny;2023;apartamentowiec;plastikowe;True
1-pokojowe mieszkanie 30m2 + balkon Bez Prowizji;Długa/ul. Gnieźnieńska, Szczepin, Stare Miasto, Wrocław, dolnośląskie;619000;1;30.61;3;9;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;;;;;;;
Mieszkanie 2-pok. 54 m2 blisko Rynku;ul. Kazimierza Jagiellończyka, Nadodrze, Śródmieście, Wrocław, dolnośląskie;591000;2;54.50;parter;4;380;W trakcie realizacji / Zwolnione;pełna własność;do zamieszkania;;;gazowe;wtórny;prywatny;1904;kamienica;plastikowe;False
Realizacja 04.2026/Mieszkanie 2 pok.53,31m2/ duży;Krzyki, Krzyki, Wrocław, dolnośląskie;703075;2;53.31;parter;8;;;pełna własność;;taras;;miejskie;pierwotny;biuro nieruchomości ;2026;blok;;True
Okazja na Jagodnie ⭐ Rynek 5,9km ⭐ Prowizja 0%;Jagodno, Krzyki, Wrocław, dolnośląskie;926912;5;83.01;parter;1;;;;do wykończenia;balkon, ogródek, taras;garaż/miejsce parkingowe;gazowe;pierwotny;biuro nieruchomości ;;szeregowiec;plastikowe;False
Bezczynszowe | Garaż | Balkon | Sufity 3 metry;ul. Podolska, Muchobór Wielki, Fabryczna, Wrocław, dolnośląskie;679999;3;55.08;2;2;;;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;gazowe;wtórny;biuro nieruchomości ;2012;szeregowiec;plastikowe;False
2 poziomy+2 balkony+3 pokoje - od właściela;ul. Radkowska, Gaj, Krzyki, Wrocław, dolnośląskie;698000;3;63.20;3;3;800;C;pełna własność;do zamieszkania;balkon;;;wtórny;prywatny;2002;blok;plastikowe;False
3-pokojowe mieszkanie 77m2 + balkon Bezpośrednio;ul. Pabianicka, Powstańców Śląskich, Krzyki, Wrocław, dolnośląskie;1225000;3;77.31;1;10;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;;;;;;;
1-pokojowe mieszkanie 41m2 + ogródek Bez Prowizji;ul. Mieszczańska, Nadodrze, Śródmieście, Wrocław, dolnośląskie;749840;1;41.20;parter;6;;;pełna własność;do wykończenia;taras, ogródek;garaż/miejsce parkingowe;;;;;;;
5-pokojowe mieszkanie 122m2 + 2 loggie;ul. Legnicka, Popowice Południowe, Fabryczna, Wrocław, dolnośląskie;;5;122.91;10+;17;;;pełna własność;do wykończenia;;garaż/miejsce parkingowe;;;;;;;
Piękne mieszkanie przy ul.Pięknej!;ul. Piękna, Tarnogaj, Krzyki, Wrocław, dolnośląskie;667000;2;43.00;5;6;;;;do zamieszkania;balkon, taras;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2019;apartamentowiec;plastikowe;True
Odświeżone Wyposażone Niezamieszkałe Gotowe;ul. Zatorska, Zawidawie, Psie Pole, Wrocław, dolnośląskie;623000;2;48.00;3;3;;W trakcie realizacji / Zwolnione;pełna własność;do zamieszkania;;garaż/miejsce parkingowe;;wtórny;biuro nieruchomości ;2011;blok;plastikowe;False
OKAZJA-Mieszkanie PREMIUM-Ostrów Tumski 750m;ul. Ołbińska 4a, Nadodrze, Śródmieście, Wrocław, dolnośląskie;729000;3;68.97;3;4;;;pełna własność;do zamieszkania;;;inne;wtórny;prywatny;1911;kamienica;plastikowe;False
Mieszkanie, garaż, BEZ POŚREDNIKÓW, Prywatnie;Osiedle Lokum Verde, Zawidawie, Psie Pole, Wrocław, dolnośląskie;729000;3;47.00;4;4;500;;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;pierwotny;prywatny;2023;apartamentowiec;plastikowe;True
